school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,15.0,U,LE3,A,1,1,teacher,at_home,other,mother,1,2,0,yes,yes,yes,yes,no,no,yes,no,4,2,1,5,3,4,74,3,20,5.0
GP,M,15.0,R,LE3,T,4,0,at_home,services,home,other,4,1,0,yes,yes,no,yes,no,no,no,yes,1,4,5,3,3,1,52,5,19,7.0
GP,F,20.0,R,LE3,A,2,4,health,teacher,other,mother,2,2,0,yes,yes,no,no,no,yes,no,no,2,2,3,4,4,4,91,19,7,16.0
MS,M,17.0,R,LE3,T,0,4,other,services,course,other,2,4,0,yes,yes,yes,no,no,no,yes,yes,2,4,5,5,4,3,68,10,0,0.0
GP,M,22.0,U,LE3,A,3,4,health,at_home,other,father,3,3,2,yes,yes,yes,yes,no,yes,no,yes,1,5,5,5,5,1,89,5,16,12.0
MS,M,17.0,R,LE3,T,4,1,services,at_home,other,father,1,2,2,no,yes,yes,no,no,yes,yes,no,3,4,5,3,4,4,85,0,16,8.0
MS,M,20.0,R,GT3,A,0,1,teacher,teacher,reputation,father,3,2,3,yes,yes,yes,yes,no,no,yes,yes,4,4,5,2,5,4,19,17,13,20.0
GP,M,19.0,R,GT3,T,1,1,teacher,other,course,father,4,4,1,no,no,no,no,yes,yes,yes,yes,5,5,4,4,2,4,27,9,20,14.0
MS,M,20.0,R,GT3,T,0,0,services,other,other,mother,2,2,0,yes,no,yes,yes,yes,no,no,no,3,4,1,4,3,1,71,11,3,20.0
MS,F,20.0,U,LE3,A,2,3,teacher,health,home,mother,1,2,2,yes,yes,no,yes,yes,no,yes,no,5,3,2,4,4,3,42,5,7,8.0
GP,M,22.0,U,GT3,A,0,0,health,other,home,father,4,3,2,yes,yes,no,no,yes,no,yes,yes,3,5,3,3,5,5,19,4,15,14.0
GP,F,15.0,U,LE3,T,2,4,services,other,home,father,3,2,3,yes,no,no,no,yes,no,yes,yes,1,4,2,1,2,2,10,17,19,6.0
MS,F,21.0,U,LE3,A,0,0,services,at_home,reputation,other,2,4,0,yes,yes,yes,no,no,no,no,no,2,5,4,3,1,2,72,11,13,15.0
GP,M,18.0,U,GT3,T,3,1,services,services,other,mother,2,2,0,yes,yes,yes,yes,no,no,no,no,1,5,3,4,3,2,19,8,0,13.0
MS,F,15.0,R,GT3,T,0,3,at_home,health,home,other,4,4,3,yes,yes,no,yes,no,yes,yes,no,5,1,2,1,1,1,46,4,0,2.0
GP,F,22.0,U,GT3,T,3,1,health,services,reputation,mother,3,3,0,no,yes,yes,yes,no,yes,no,no,2,4,5,1,4,3,3,5,12,6.0
GP,M,22.0,R,LE3,A,4,3,teacher,teacher,other,mother,4,1,1,no,no,no,yes,no,yes,yes,yes,2,4,3,3,1,4,66,6,13,0.0
MS,M,21.0,R,LE3,T,1,3,at_home,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,1,3,2,3,3,9,15,15,15.0
GP,M,17.0,R,GT3,A,3,0,at_home,health,home,other,4,1,2,yes,yes,no,yes,yes,yes,no,no,4,4,2,2,2,5,13,6,11,13.0
GP,M,16.0,R,GT3,A,1,3,services,other,home,father,2,1,1,yes,yes,no,no,no,yes,no,yes,2,5,3,1,4,5,81,13,16,7.0
GP,F,18.0,R,GT3,T,3,2,services,services,other,father,2,1,2,no,no,no,no,yes,no,no,no,4,1,1,1,3,2,12,12,13,10.0
GP,F,17.0,U,LE3,A,0,4,at_home,services,reputation,father,3,1,1,yes,yes,no,no,yes,yes,no,yes,2,2,4,1,2,4,0,18,7,6.0
GP,F,22.0,U,LE3,A,2,2,teacher,services,reputation,mother,3,1,3,no,yes,yes,yes,yes,no,no,no,1,1,3,1,5,2,64,20,6,17.0
MS,M,22.0,U,GT3,T,2,0,health,services,course,father,2,1,2,no,no,no,no,yes,no,no,yes,2,2,5,1,2,5,28,17,8,17.0
MS,M,17.0,R,LE3,A,0,3,health,health,course,other,4,4,1,yes,no,no,yes,no,yes,yes,no,1,1,4,4,5,3,90,1,9,2.0
MS,M,22.0,R,LE3,A,0,2,services,at_home,home,father,4,1,2,no,yes,yes,yes,yes,no,no,yes,2,5,3,3,1,2,50,0,7,9.0
MS,M,20.0,U,LE3,T,0,3,health,services,reputation,father,4,2,3,no,yes,yes,no,yes,yes,no,yes,2,1,2,4,1,5,53,3,19,11.0
MS,F,18.0,U,GT3,T,2,0,health,teacher,reputation,mother,3,4,2,no,yes,yes,yes,no,yes,yes,no,1,1,4,1,2,5,24,11,17,5.0
MS,M,20.0,R,GT3,T,0,0,services,at_home,home,father,1,1,1,yes,yes,no,yes,no,yes,yes,no,2,2,2,4,3,2,4,6,13,5.0
MS,F,22.0,U,LE3,T,1,4,services,at_home,course,father,1,4,1,yes,yes,no,yes,yes,yes,yes,yes,3,5,3,1,3,2,14,17,10,18.0
GP,M,21.0,U,LE3,T,4,3,at_home,at_home,reputation,father,1,2,2,yes,yes,yes,yes,yes,yes,no,no,5,1,5,5,3,1,34,5,10,11.0
GP,F,17.0,R,GT3,A,4,3,services,services,reputation,mother,4,2,0,yes,yes,yes,yes,yes,no,yes,yes,3,2,3,5,3,1,2,11,1,2.0
MS,F,17.0,U,GT3,T,3,2,teacher,teacher,other,mother,1,2,2,yes,yes,yes,no,yes,no,yes,yes,2,3,5,1,5,2,64,4,18,7.0
MS,M,20.0,R,GT3,A,2,0,other,health,course,mother,1,4,0,yes,yes,no,yes,yes,no,yes,no,3,5,5,4,4,4,19,10,8,1.0
GP,F,17.0,R,GT3,A,4,3,services,other,reputation,other,4,3,1,yes,no,yes,no,no,yes,yes,no,2,2,5,3,1,3,90,14,9,0.0
MS,F,19.0,R,LE3,A,2,1,at_home,other,course,mother,2,4,1,no,yes,no,no,yes,yes,yes,no,2,4,3,1,4,3,36,10,13,14.0
GP,M,20.0,R,GT3,A,2,2,teacher,health,other,father,1,4,0,yes,yes,no,yes,yes,yes,no,no,5,1,3,2,1,4,20,12,16,8.0
GP,M,21.0,U,LE3,A,2,0,health,at_home,course,mother,4,3,0,yes,yes,no,yes,no,yes,no,no,3,4,5,2,1,4,42,10,0,12.0
GP,M,18.0,U,LE3,T,1,4,services,teacher,other,mother,3,3,2,yes,no,yes,yes,yes,no,no,no,3,2,5,2,2,5,54,19,14,14.0
MS,M,18.0,R,GT3,A,0,1,services,teacher,reputation,mother,3,2,1,yes,yes,yes,no,yes,yes,yes,no,3,3,1,4,3,2,11,18,1,5.0
MS,M,19.0,U,GT3,T,3,2,at_home,health,home,mother,1,4,1,yes,no,yes,yes,yes,yes,no,yes,1,4,3,4,1,5,18,13,10,0.0
MS,F,21.0,U,LE3,T,1,0,services,teacher,course,father,1,2,1,yes,yes,yes,no,no,no,no,yes,5,1,5,4,2,3,47,8,14,3.0
GP,M,18.0,U,LE3,A,3,2,health,teacher,home,other,4,4,3,no,yes,yes,yes,no,yes,yes,yes,2,4,5,5,2,3,44,16,5,20.0
MS,M,22.0,R,LE3,A,2,4,health,health,reputation,other,4,2,0,no,no,yes,no,no,yes,yes,yes,5,4,1,2,5,3,49,16,20,14.0
MS,M,20.0,U,LE3,T,0,0,health,health,course,father,3,3,1,yes,no,no,yes,no,no,no,yes,2,5,3,4,2,3,78,15,19,12.0
GP,F,22.0,U,GT3,T,3,0,teacher,teacher,home,other,1,4,0,yes,no,yes,yes,yes,yes,yes,yes,1,4,3,2,1,3,58,1,5,15.0
MS,M,21.0,R,GT3,T,0,2,health,at_home,reputation,other,2,3,3,yes,yes,yes,yes,no,yes,yes,no,4,4,1,3,5,3,61,17,15,0.0
GP,F,20.0,U,GT3,T,2,1,other,services,home,mother,1,4,0,no,no,no,yes,no,no,yes,yes,5,3,5,3,2,3,87,9,6,15.0
MS,F,16.0,U,LE3,T,4,1,other,other,course,other,2,4,2,yes,yes,no,no,yes,no,no,no,1,2,1,3,4,3,88,6,15,16.0
GP,F,18.0,U,GT3,A,3,4,health,other,course,other,4,3,3,yes,no,no,yes,yes,yes,yes,no,4,2,4,4,5,2,56,9,11,14.0
GP,M,21.0,U,GT3,T,2,2,health,other,home,mother,3,1,2,yes,no,yes,yes,yes,yes,yes,yes,4,4,4,2,2,3,47,3,2,4.0
GP,M,21.0,R,LE3,A,1,1,at_home,at_home,course,other,3,4,3,yes,no,yes,yes,yes,yes,yes,yes,4,3,5,1,2,2,58,19,18,18.0
MS,M,18.0,R,LE3,T,1,0,at_home,health,course,other,2,3,1,yes,no,yes,yes,yes,yes,no,yes,2,1,4,3,1,2,90,4,0,0.0
GP,M,19.0,R,GT3,A,3,4,other,at_home,home,other,4,1,2,no,no,yes,yes,no,yes,no,yes,4,1,2,3,4,3,79,3,14,17.0
GP,F,15.0,R,GT3,A,1,3,services,services,other,other,1,4,1,no,yes,yes,no,no,no,yes,no,2,5,3,1,2,2,19,6,12,12.0
GP,F,17.0,R,LE3,T,4,2,other,teacher,other,other,1,2,0,yes,no,no,no,yes,no,no,no,1,1,4,2,5,3,37,11,19,17.0
GP,F,18.0,R,GT3,A,3,3,at_home,health,home,other,4,3,2,no,yes,no,no,yes,no,yes,no,5,4,4,1,5,2,55,13,15,1.0
GP,F,16.0,U,GT3,T,0,0,services,other,other,mother,4,3,0,yes,yes,no,no,yes,no,yes,yes,2,1,2,2,3,2,10,8,10,17.0
MS,F,16.0,U,LE3,T,2,4,other,teacher,course,mother,3,1,0,no,no,no,no,no,no,no,no,1,5,3,1,4,3,13,1,14,8.0
MS,F,19.0,U,GT3,A,4,0,health,services,other,other,2,4,2,no,no,yes,no,no,yes,yes,no,1,1,1,4,5,5,30,20,5,0.0
MS,M,21.0,U,LE3,T,1,1,at_home,services,home,other,3,4,0,no,yes,no,no,yes,yes,yes,yes,2,1,5,1,1,1,84,2,7,12.0
GP,F,22.0,R,GT3,A,0,3,at_home,at_home,other,mother,4,1,3,yes,no,no,no,yes,no,no,yes,5,4,3,1,5,1,23,8,11,3.0
GP,F,16.0,R,GT3,A,4,1,health,at_home,reputation,mother,3,1,0,no,yes,yes,yes,no,no,no,no,4,2,3,5,5,3,48,6,11,7.0
MS,M,20.0,R,GT3,A,3,0,other,at_home,course,other,1,2,1,no,yes,no,yes,no,no,yes,yes,5,4,3,2,5,1,61,17,5,13.0
GP,M,15.0,R,GT3,A,3,3,teacher,services,reputation,mother,3,1,0,no,no,yes,no,yes,yes,no,yes,2,1,2,2,5,5,16,19,7,10.0
MS,F,18.0,U,GT3,A,3,1,health,services,course,mother,3,1,2,yes,yes,yes,no,no,yes,no,no,5,4,2,5,4,3,8,10,17,19.0
MS,F,18.0,R,LE3,T,0,3,at_home,health,home,mother,3,2,1,no,no,yes,yes,yes,no,yes,yes,4,2,4,2,2,3,8,14,11,14.0
GP,M,15.0,U,GT3,T,3,4,services,health,other,father,3,3,2,no,yes,no,no,no,yes,no,no,2,4,2,5,4,4,80,1,0,17.0
MS,M,18.0,R,LE3,A,1,2,other,health,home,other,2,2,3,no,no,yes,no,no,yes,no,yes,4,5,1,4,5,5,78,2,10,5.0
GP,M,19.0,U,GT3,T,3,1,services,other,reputation,other,4,2,2,yes,yes,no,no,yes,yes,yes,yes,1,2,3,3,1,3,67,13,7,1.0
GP,M,17.0,U,GT3,T,4,4,at_home,health,other,father,2,1,2,no,no,no,yes,yes,yes,no,yes,2,3,4,3,4,2,28,11,2,6.0
GP,F,19.0,R,LE3,T,4,3,teacher,at_home,home,other,2,4,1,yes,yes,yes,no,yes,yes,yes,no,2,4,1,1,2,4,40,8,17,15.0
MS,M,16.0,R,LE3,A,0,0,teacher,health,other,mother,3,4,1,no,no,no,yes,no,no,yes,no,2,2,3,5,3,3,39,14,17,9.0
MS,F,22.0,R,LE3,A,0,0,teacher,teacher,other,father,2,1,0,no,yes,no,no,yes,no,no,no,3,3,4,2,3,4,69,0,15,5.0
MS,M,17.0,R,LE3,T,0,1,other,teacher,course,other,3,1,1,no,yes,yes,yes,no,no,yes,no,5,2,2,5,5,1,11,19,0,16.0
GP,M,17.0,R,GT3,T,1,3,other,health,other,father,3,2,1,no,yes,yes,yes,no,no,no,yes,2,1,5,2,4,1,32,17,9,5.0
MS,F,22.0,R,GT3,T,1,1,services,at_home,home,father,2,4,3,no,yes,no,yes,no,no,yes,no,5,5,3,4,3,4,65,3,0,12.0
GP,F,20.0,R,GT3,A,1,3,health,other,home,other,3,1,2,yes,yes,yes,yes,yes,no,no,no,5,3,2,1,2,3,43,16,8,17.0
MS,M,18.0,U,LE3,A,3,3,other,at_home,reputation,father,1,2,3,yes,no,no,no,no,yes,yes,yes,4,1,3,3,1,3,16,3,7,18.0
MS,F,18.0,U,GT3,A,0,0,health,teacher,other,father,2,1,1,no,no,no,no,yes,yes,no,yes,2,1,4,2,1,1,7,3,0,11.0
MS,F,19.0,U,GT3,A,1,1,services,health,course,father,3,1,0,no,no,yes,no,yes,yes,yes,no,1,1,3,1,1,4,65,2,18,0.0
MS,F,22.0,R,GT3,T,0,0,at_home,services,other,mother,2,3,1,yes,no,yes,no,yes,no,yes,no,2,4,3,5,4,2,46,8,3,15.0
GP,F,15.0,R,LE3,A,2,2,other,at_home,other,mother,4,4,0,no,no,no,no,yes,yes,yes,no,1,3,1,2,2,5,23,7,18,8.0
GP,M,21.0,R,LE3,A,4,2,at_home,other,other,mother,2,3,1,no,yes,no,no,yes,no,no,no,2,3,2,1,3,3,72,4,13,13.0
MS,F,19.0,U,LE3,A,1,2,other,teacher,reputation,other,4,2,2,no,no,no,yes,no,no,yes,no,2,5,3,1,4,1,7,9,9,5.0
GP,M,17.0,R,GT3,A,3,4,teacher,health,reputation,father,2,2,3,no,no,no,yes,yes,yes,no,yes,1,4,5,5,1,4,53,16,13,12.0
MS,F,16.0,U,GT3,A,1,4,at_home,services,home,mother,1,4,2,yes,no,no,no,no,yes,yes,yes,1,5,3,4,3,4,47,19,19,7.0
GP,M,15.0,U,GT3,T,1,0,services,at_home,other,other,1,2,2,no,yes,yes,yes,no,yes,no,no,3,1,5,4,4,5,68,16,2,18.0
MS,F,16.0,R,LE3,T,2,4,health,health,course,other,4,2,0,yes,yes,no,no,yes,no,yes,no,4,2,5,2,1,3,73,1,1,3.0
MS,F,22.0,R,GT3,A,0,4,at_home,at_home,other,father,3,3,3,no,no,no,no,no,no,yes,yes,3,3,5,1,5,2,25,10,7,7.0
MS,M,18.0,R,GT3,T,0,2,other,at_home,course,other,3,3,3,no,no,no,yes,no,no,no,yes,4,5,2,2,2,4,22,4,2,12.0
MS,M,21.0,R,GT3,T,0,3,other,health,home,father,3,1,3,yes,no,no,yes,yes,no,yes,yes,3,2,1,3,1,1,61,17,19,17.0
MS,M,22.0,U,LE3,A,3,3,teacher,other,home,father,4,1,2,yes,no,no,no,yes,no,no,yes,5,1,5,1,1,4,40,11,19,3.0
MS,M,17.0,R,LE3,A,0,3,services,other,course,other,3,3,0,no,yes,no,yes,no,no,no,yes,5,2,1,5,4,1,8,14,12,13.0
MS,F,16.0,U,LE3,A,3,2,at_home,at_home,home,mother,4,3,0,no,no,yes,yes,no,no,no,yes,4,4,2,4,3,2,92,5,1,17.0
GP,M,15.0,R,LE3,A,0,4,health,services,other,other,1,2,1,yes,no,yes,yes,no,yes,no,yes,3,5,3,4,2,4,89,9,2,9.0
GP,F,19.0,R,LE3,T,4,2,at_home,teacher,home,father,3,4,1,no,no,yes,yes,no,no,yes,no,4,1,3,3,1,2,5,3,16,16.0
MS,F,20.0,U,GT3,A,1,4,at_home,health,reputation,mother,1,2,0,yes,no,yes,no,no,no,no,no,3,2,4,1,4,5,37,4,17,7.0
MS,F,21.0,R,LE3,A,0,4,health,services,course,mother,1,4,3,yes,no,no,no,no,no,no,no,3,4,3,2,4,3,27,4,9,17.0
MS,M,17.0,R,LE3,A,3,2,services,other,home,father,3,2,0,yes,yes,yes,yes,no,no,yes,yes,3,5,5,1,1,2,47,8,20,5.0
GP,F,17.0,U,LE3,T,3,2,health,teacher,course,mother,2,3,0,yes,yes,yes,yes,yes,yes,yes,no,1,5,1,1,5,5,17,8,20,8.0
MS,M,18.0,R,LE3,T,2,2,services,other,course,mother,3,3,3,yes,no,yes,yes,no,yes,yes,no,4,3,2,3,5,2,27,20,17,15.0
MS,M,20.0,U,LE3,T,0,4,services,services,course,mother,4,3,0,yes,no,yes,yes,yes,no,yes,no,2,3,1,2,3,1,6,10,10,15.0
GP,F,18.0,U,GT3,T,2,1,health,health,course,mother,4,4,2,yes,no,yes,yes,yes,yes,no,yes,3,3,3,3,2,4,13,8,5,9.0
GP,M,22.0,U,LE3,T,3,3,services,services,home,other,2,2,1,no,yes,no,yes,yes,no,yes,no,3,3,2,2,4,2,31,20,11,14.0
GP,F,19.0,U,LE3,A,1,3,other,teacher,course,other,3,3,1,no,no,yes,yes,no,yes,no,yes,5,2,4,5,3,4,57,16,18,3.0
GP,M,22.0,R,LE3,T,3,1,at_home,teacher,home,other,1,1,3,yes,yes,yes,no,no,yes,no,yes,5,4,2,3,1,3,57,16,10,11.0
MS,F,20.0,U,GT3,A,4,4,other,teacher,home,other,4,2,2,yes,no,no,yes,yes,yes,yes,no,2,4,4,3,2,1,22,10,20,18.0
MS,F,22.0,U,LE3,A,0,3,other,services,course,mother,4,4,1,yes,no,no,no,no,yes,no,yes,2,5,1,2,5,5,49,2,12,0.0
MS,M,18.0,R,LE3,T,2,2,at_home,services,other,other,2,2,3,no,no,no,yes,no,yes,yes,yes,5,3,5,3,5,4,43,3,9,19.0
GP,F,18.0,R,LE3,T,1,2,teacher,health,course,father,1,4,0,no,yes,no,no,yes,no,no,no,2,5,5,4,4,2,73,15,9,20.0
MS,M,18.0,R,LE3,A,2,1,teacher,teacher,other,father,4,4,1,yes,yes,no,no,yes,yes,no,no,1,4,4,4,4,2,22,4,20,9.0
GP,F,20.0,U,LE3,A,4,2,services,teacher,home,father,3,3,1,no,yes,no,yes,yes,yes,yes,yes,1,2,2,3,1,3,74,14,1,12.0
GP,F,17.0,R,GT3,A,0,2,at_home,services,other,mother,3,3,3,no,no,yes,no,yes,yes,yes,no,2,5,4,2,5,4,84,3,3,15.0
MS,M,18.0,R,LE3,A,3,0,other,at_home,course,father,4,3,1,yes,yes,yes,yes,no,no,no,yes,3,2,5,3,4,3,45,11,0,12.0
GP,F,19.0,U,GT3,T,0,2,at_home,services,other,other,4,4,0,no,yes,no,yes,yes,no,no,no,3,4,5,5,1,5,58,0,2,7.0
MS,F,18.0,U,LE3,A,0,2,services,health,course,father,4,2,2,no,yes,no,yes,no,yes,yes,yes,1,1,5,5,3,5,73,2,18,4.0
MS,F,21.0,R,LE3,T,1,1,teacher,at_home,course,father,4,4,3,no,yes,yes,yes,yes,yes,no,no,2,2,4,4,4,4,51,14,16,10.0
GP,F,17.0,U,LE3,T,2,1,teacher,teacher,course,mother,1,4,3,no,yes,no,no,yes,no,no,yes,2,2,5,2,5,5,8,6,12,4.0
GP,F,20.0,R,LE3,T,1,1,teacher,services,reputation,father,1,4,2,no,no,yes,yes,no,yes,yes,yes,3,2,3,2,4,3,49,10,19,18.0
MS,M,18.0,R,GT3,A,1,2,services,other,home,father,1,1,2,yes,no,no,no,yes,yes,no,no,2,4,4,1,1,4,0,15,1,10.0
MS,M,15.0,R,LE3,T,4,3,services,health,other,other,1,3,2,no,no,no,no,yes,yes,yes,no,2,4,1,4,3,5,18,5,11,17.0
MS,M,21.0,R,GT3,A,1,1,at_home,at_home,other,mother,2,2,2,yes,yes,no,no,no,yes,no,no,2,1,3,3,4,1,25,20,0,19.0
GP,M,22.0,U,GT3,T,0,4,other,teacher,course,mother,3,1,1,yes,yes,no,yes,yes,no,yes,yes,2,3,3,5,1,2,81,7,5,0.0
GP,F,17.0,U,LE3,A,3,3,other,health,course,mother,1,2,1,no,no,no,no,no,no,yes,yes,1,3,2,1,4,1,7,3,12,4.0
GP,F,15.0,R,LE3,T,4,4,services,services,home,mother,1,3,0,no,no,yes,no,yes,no,no,no,1,1,1,2,2,2,22,6,4,16.0
MS,F,15.0,U,GT3,A,1,0,health,at_home,home,other,3,2,0,no,no,yes,no,yes,yes,no,no,4,2,2,1,5,4,14,14,0,12.0
GP,M,21.0,U,GT3,T,2,3,services,other,reputation,father,3,4,1,yes,yes,yes,no,yes,yes,yes,yes,3,2,1,5,2,4,8,19,12,19.0
MS,F,19.0,R,GT3,A,3,1,services,services,reputation,father,4,3,0,no,no,yes,no,no,yes,yes,no,2,2,3,2,3,3,34,7,8,5.0
GP,F,17.0,U,GT3,A,2,4,health,other,reputation,mother,2,3,2,no,yes,no,yes,no,yes,no,yes,1,4,2,1,2,3,15,20,4,14.0
GP,M,22.0,R,LE3,A,0,1,at_home,health,course,father,3,2,2,no,yes,no,yes,yes,no,no,yes,5,2,1,4,4,5,50,9,18,8.0
GP,F,20.0,R,LE3,T,3,0,at_home,other,home,father,2,4,1,yes,yes,yes,no,yes,no,yes,no,3,3,2,4,3,1,10,9,1,8.0
GP,F,21.0,R,GT3,A,3,1,teacher,health,home,other,1,4,3,yes,yes,no,no,no,no,no,yes,1,5,2,3,4,1,93,14,15,5.0
MS,F,18.0,U,LE3,A,3,1,at_home,at_home,reputation,mother,4,2,2,no,yes,yes,no,no,no,yes,yes,3,1,3,5,3,1,3,15,18,17.0
GP,M,20.0,R,GT3,T,2,0,health,at_home,home,mother,4,4,3,yes,no,no,yes,yes,no,no,yes,3,3,3,2,2,1,39,9,12,9.0
GP,M,17.0,R,LE3,T,4,3,health,health,other,other,2,4,1,yes,no,yes,no,no,no,no,no,4,3,4,4,3,4,89,11,16,4.0
MS,M,16.0,R,GT3,T,3,1,health,health,reputation,mother,1,3,2,no,no,yes,yes,no,no,no,yes,4,5,2,2,2,3,4,15,9,1.0
GP,F,15.0,U,LE3,A,0,0,teacher,health,reputation,mother,2,3,0,no,no,yes,no,no,no,no,no,1,4,5,1,4,4,17,17,15,0.0
MS,M,19.0,R,LE3,A,0,4,health,services,course,mother,1,4,3,yes,yes,yes,yes,yes,no,no,yes,4,3,1,1,4,4,44,15,13,10.0
GP,M,21.0,R,LE3,T,0,1,health,services,other,father,4,3,3,yes,yes,yes,yes,no,yes,yes,yes,5,5,4,5,5,2,23,7,16,2.0
GP,F,16.0,R,GT3,A,1,4,at_home,teacher,other,other,2,1,3,no,no,yes,no,no,no,no,no,5,1,3,3,5,5,67,15,8,18.0
GP,M,21.0,U,LE3,A,0,2,teacher,at_home,home,other,2,3,1,no,no,yes,yes,no,yes,yes,no,2,4,2,3,3,4,8,15,15,16.0
MS,F,16.0,U,LE3,T,0,2,other,other,other,father,2,2,1,no,yes,no,yes,no,no,no,no,2,2,1,2,5,2,13,5,12,13.0
GP,M,20.0,R,LE3,A,4,3,teacher,health,reputation,father,1,3,0,yes,yes,no,no,yes,no,no,yes,1,2,4,3,4,1,19,0,16,14.0
MS,M,21.0,U,LE3,A,2,0,teacher,health,other,father,1,2,2,yes,no,yes,no,no,no,no,no,5,1,1,5,2,5,9,13,15,10.0
MS,M,22.0,R,LE3,A,0,4,health,at_home,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,1,2,3,2,2,3,34,2,16,9.0
MS,M,20.0,R,LE3,T,4,4,health,services,course,other,4,4,3,no,yes,yes,no,no,no,yes,yes,1,3,5,1,3,1,59,12,8,20.0
MS,M,19.0,U,GT3,T,4,2,at_home,other,home,father,3,1,1,yes,no,no,yes,no,yes,yes,yes,4,5,3,3,5,3,57,3,6,7.0
MS,F,19.0,U,GT3,A,4,1,at_home,health,reputation,father,2,4,3,no,no,yes,no,no,yes,no,yes,3,5,2,5,4,2,52,20,15,9.0
MS,F,22.0,U,LE3,T,3,2,health,services,other,father,3,2,3,yes,no,yes,yes,no,yes,yes,yes,4,4,3,1,4,3,16,4,12,12.0
MS,F,20.0,R,GT3,A,2,3,services,other,other,other,1,2,3,no,no,no,yes,no,no,no,yes,2,5,2,5,3,4,19,15,1,12.0
MS,F,17.0,U,GT3,T,1,2,at_home,teacher,other,other,2,1,0,yes,no,no,no,yes,no,no,no,5,1,5,3,2,2,63,2,5,0.0
GP,M,16.0,R,LE3,A,0,4,teacher,health,course,father,3,2,2,no,yes,yes,no,yes,no,no,no,1,1,2,4,1,4,29,2,16,3.0
MS,F,15.0,R,LE3,T,3,4,at_home,teacher,reputation,father,3,2,1,no,yes,no,no,no,no,yes,yes,3,3,1,2,3,3,60,9,9,10.0
GP,M,21.0,R,LE3,A,1,2,health,services,home,mother,4,1,0,yes,yes,no,no,no,yes,no,no,5,1,4,4,1,4,50,20,10,18.0
GP,M,20.0,R,GT3,T,0,2,health,at_home,home,father,2,1,0,no,yes,no,yes,yes,no,yes,no,4,4,1,5,3,5,90,20,11,0.0
MS,M,18.0,U,GT3,T,3,3,at_home,health,reputation,mother,3,4,3,no,no,yes,yes,no,yes,no,yes,1,4,1,1,1,5,23,20,5,10.0
MS,F,16.0,U,GT3,A,1,3,health,other,other,mother,1,2,2,no,no,no,no,no,no,no,no,5,5,2,2,5,4,83,14,0,3.0
GP,M,17.0,U,LE3,T,4,1,teacher,other,course,mother,3,1,3,no,no,yes,no,no,no,no,yes,4,5,3,1,3,3,42,7,1,3.0
GP,F,22.0,R,LE3,A,2,3,health,services,reputation,other,1,1,3,no,no,no,no,no,no,yes,yes,2,4,5,5,3,3,85,9,3,6.0
MS,M,17.0,R,GT3,A,3,0,health,health,home,mother,1,2,3,yes,yes,yes,no,no,no,yes,no,1,1,2,1,5,2,82,0,13,9.0
GP,M,20.0,R,LE3,A,2,4,health,teacher,other,other,2,1,3,no,no,no,no,no,yes,no,yes,2,1,4,2,3,2,58,1,17,6.0
GP,M,18.0,R,LE3,T,0,1,other,health,reputation,mother,1,4,2,no,no,yes,yes,yes,yes,yes,yes,5,4,2,5,4,5,45,13,6,4.0
GP,F,22.0,R,LE3,T,1,0,teacher,at_home,home,father,1,3,2,yes,no,yes,yes,yes,yes,no,yes,4,1,1,2,1,2,35,15,8,20.0
GP,F,21.0,R,LE3,A,3,4,teacher,services,reputation,father,1,1,1,no,yes,yes,no,no,yes,yes,yes,3,3,5,1,3,5,76,1,14,5.0
MS,M,22.0,U,LE3,A,2,2,teacher,services,other,mother,3,4,1,yes,yes,no,no,no,yes,yes,yes,3,4,5,3,1,1,12,12,2,1.0
GP,M,20.0,R,GT3,T,0,0,health,at_home,home,father,1,2,0,yes,no,no,yes,no,no,no,yes,5,5,4,1,5,3,76,19,19,15.0
MS,M,19.0,R,GT3,A,0,0,health,services,course,other,3,1,0,no,yes,no,no,yes,no,no,no,5,3,4,2,2,5,66,4,2,13.0
GP,M,15.0,R,LE3,A,1,0,other,services,reputation,mother,1,4,0,yes,yes,no,no,no,yes,yes,yes,2,2,1,2,4,4,8,12,6,14.0
GP,M,20.0,R,LE3,A,2,2,at_home,other,reputation,father,1,2,3,no,no,no,no,yes,no,no,no,2,3,1,2,4,1,21,8,9,2.0
MS,F,21.0,R,GT3,T,4,2,at_home,services,other,father,3,2,2,yes,no,no,yes,yes,yes,yes,no,2,3,3,4,3,5,41,11,0,9.0
MS,M,17.0,U,LE3,T,4,3,health,services,course,other,2,4,0,yes,no,yes,yes,yes,no,yes,yes,2,3,4,1,1,1,93,2,1,8.0
MS,M,22.0,U,GT3,A,1,0,services,services,other,other,4,3,2,yes,no,yes,no,no,no,yes,yes,5,4,3,1,5,1,3,7,4,20.0
MS,F,20.0,U,LE3,A,3,2,teacher,at_home,course,mother,1,4,3,no,no,yes,yes,yes,no,no,yes,3,1,4,4,2,1,54,20,3,7.0
